station,channel,longitude,latitude,z,x,y
/* AHUD,EHZ,-155.263462,19.371567,1051.0,524848.012953,59592.9760919 */
/ BYL,HHZ,-155.259872,19.412086,1079.0,525218.906428,64078.7411664
/* CPKD,EHZ,-155.324317,19.391443,1038.0,518452.706814,61785.6252875
/* DEVL,HHZ,-155.240608,19.373568,1046.0,527248.588901,59817.8800352
HAT,HHZ,-155.26094,19.423037,1097.0,525105.052201,65290.8116592
KKO,HHZ,-155.266032,19.398242,1140.0,524574.015304,62545.3991487
/* KNHD,EHZ,-155.169297,19.379447,933.0,534738.786646,60481.3287836
/* MITD,EHZ,-155.301105,19.33566,935.0,520898.039054,55613.3709474
/* / OBL,HHZ,-155.284097,19.417662,1119.0,522673.826252,64692.6541385
/ OTLD,EHZ,-155.281715,19.386532,1103.0,522928.361946,61247.0323858
/* PAUD,HHZ,-155.2155,19.373785,994.0,529886.219453,59846.0085118
/* PUHI,HHZ,-155.251312,19.385509,1079.0,526122.195996,61138.0542794
/ RIMD,HHZ,-155.273643,19.395368,1145.0,523774.996476,62226.2091751
/* RSDD,EHZ,-155.27533,19.46017,1296.0,523588.426149,69399.2571853 */
/ SBL,HHZ,-155.267682,19.427078,1081.0,524396.395825,65737.1745151
/ UWB,HHZ,-155.277582,19.42476,1084.0,523357.04498,65479.2274113
UWE,HHZ,-155.291162,19.420972,1231.0,521931.384021,65058.1526156
/* SDH,HHZ,-155.293995,19.390003,1115.0,521637.95666,61629.6910884 */ Ends early
/* WRM,HHZ,-155.300005,19.406623,1153.0,521004.517461,63468.7053663 */ Ends early
