key,description,math_notation,unit,unit_code,conversion,log,fmt,type
tau,Seconds of simulation,$\tau$,s,,1,False,01d,int
max_freq,Nyquist,$f$,Hz,,1,False,01d,float
xs,Cartesian easting,$x$,m,,1,False,",",int
ys,Cartesian northing,$y$,m,,1,False,",",int
zs,Elevation,$z$,m,,1,False,",",int
N,Number of impulses,$N$," ",,1,False,",",int
mu_g,Gas viscosity,$\mu_g$,Pa $\cdot$ s,,1,False,.1g,float
T,Gas temperature,$T$,K,,1,False,",",int
M,Gas molecular weight,$M$,kg/mol,,1,False,.3f,float
Rg,Ideal gas constant,$R_g$,J/K/mol,,1,False,.4f,float
Q,Mean gas flux,$Q_0$,kg/s,,1,False,",",int
R,Conduit radius,$R$,m,,1,False,",",int
S,Conduit section area,$S$,m$^2$,,1,False,",",int
D,Gas pocket thickness,$D$,m,,1,True,.1f,float
L,Cap thickness,$L$,m,,1,False,",",int
kappa,Cap pearmeability,$\kappa$,m$^2$,,1,True,.1g,float
phi,Cap porosity,$\varphi$,\%,0-1,100.0,True,.2f,float
Pex,External pressure,$P_{ex}$,MPa,Pa,1e-6,False,".0g",float
rho_s,Medium density,$\rho_s$,kg/m$^3$,,1,False,",",int
Qf,Quality factor,$Q_f$," ",,1,True,",",int
